nameid	commentaryid	name
0	900000	
1	900000	A
2	900000	A K Jacobsen
3	900000	A. Aguilar
4	900000	A. Aires
5	900000	A. Alcaraz
6	900000	A. Alghamdi
7	900000	A. Alipour
8	900000	A. Almeida
9	900000	A. Alnemer
10	900000	A. Alshanqeeti
11	900000	A. Andersson
12	900000	A. André
13	900000	A. Angulo
14	900000	A. Antilef
15	900000	A. Araque
16	900000	A. Armoa
17	900000	A. Armstrong
18	900000	A. Ayew
19	900000	A. Bamba
20	900000	A. Barcellos
21	900000	A. Bisesi
22	900000	A. Burbano
23	900000	A. Butzke
24	900000	A. Cabeza
25	900000	A. Cabral
26	900000	A. Capuz
27	900000	A. Castellano
28	900000	A. Castro
29	900000	A. Chopitea
30	900000	A. Correa
31	900000	A. Crespo
32	900000	A. Cruz
33	900000	A. Dabo
34	900000	A. Djaló
35	900000	A. Domínguez
36	900000	A. Draper
37	900000	A. Espino
38	900000	A. Espínola
39	900000	A. Fallatah
40	900000	A. Faria
41	900000	A. Fatawu
42	900000	A. Fernández
43	900000	A. Ferro
44	900000	A. Flores
45	900000	A. Franco
46	900000	A. Francés
47	900000	A. Gimenez
48	900000	A. Gonzalez
49	900000	A. Gracia
50	900000	A. Gálvez
51	900000	A. Hamddan
52	900000	A. Hamit
53	900000	A. Hassoun
54	900000	A. Herrero
55	900000	A. Hohberg
56	900000	A. Hristov
57	900000	A. Hunt
58	900000	A. Ibargüen
59	900000	A. Jiménez
60	900000	A. Keita
61	900000	A. Khamis
62	900000	A. Leal
63	900000	A. Lewis
64	900000	A. Lima
65	900000	A. Majrashi
66	900000	A. Marin
67	900000	A. Martín
68	900000	A. Medina
69	900000	A. Melendez
70	900000	A. Millán
71	900000	A. Moleiro
72	900000	A. Moreira
73	900000	A. Mumin
74	900000	A. Murphy
75	900000	A. Müller
76	900000	A. Negredo
77	900000	A. Oviedo
78	900000	A. Oyon
79	900000	A. Oña
80	900000	A. Pabón
81	900000	A. Pastor
82	900000	A. Perea
83	900000	A. Pereira
84	900000	A. Peña
85	900000	A. Plata
86	900000	A. Prado
87	900000	A. Preciado
88	900000	A. Pulido
89	900000	A. Pérez
90	900000	A. Ranocchia
91	900000	A. Rebić
92	900000	A. Remiro
93	900000	A. Rodado
94	900000	A. Rodriguez
95	900000	A. Romero
96	900000	A. Ruiz
97	900000	A. Samuel
98	900000	A. Sanches Correia
99	900000	A. Sandoval
100	900000	A. Santurio
101	900000	A. Seck
102	900000	A. Silva
103	900000	A. Sánchez
104	900000	A. Tejero
105	900000	A. Tello
106	900000	A. Torralvo
107	900000	A. Toure
108	900000	A. Traoré
109	900000	A. Trezza
110	900000	A. Univaso
111	900000	A. Valera
112	900000	A. Vaquero
113	900000	A. Vega
114	900000	A. Vera
115	900000	A. Vidual
116	900000	A. Vázquez
117	900000	A. Wharton
118	900000	A. Zervandro
119	900000	A. Zori
120	900000	A. da Silveira
121	900000	A. Živković
122	900000	A. Álvarez M.
123	900000	A. Álvarez W.
124	900000	A. Ömür
125	900000	A.Al Amri
126	900000	A.AlBukhari
127	900000	A.AlQahtani
128	900000	A.AlSalem
129	900000	A.AlShahrani
130	900000	A.Alaa
131	900000	A.Albishi
132	900000	A.Alhajri
133	900000	A.Almeida
134	900000	A.Alsalem
135	900000	A.Alyousif
136	900000	A.Ammar
137	900000	A.Andersson
138	900000	A.Atouchi
139	900000	A.Aziz
140	900000	A.Becker
141	900000	A.Butel
142	900000	A.Dagr
143	900000	A.Del Moral
144	900000	A.Espigares
145	900000	A.Fofana
146	900000	A.Forés
147	900000	A.Gelardo
148	900000	A.Godínez
149	900000	A.Guardado
150	900000	A.Hamdi
151	900000	A.Hazazi
152	900000	A.Ivan
153	900000	A.J.
154	900000	A.J. Morales
155	900000	A.Jamal
156	900000	A.Johansson
157	900000	A.Jones
158	900000	A.Kante
159	900000	A.Khateeb
160	900000	A.Luna
161	900000	A.Majrashi
162	900000	A.Mendy
163	900000	A.Nashri
164	900000	A.Ndiaye
165	900000	A.Noor
166	900000	A.Pedraza
167	900000	A.Puertas
168	900000	A.Raillo
169	900000	A.Rodriguez
170	900000	A.Serban
171	900000	A.Shammary
172	900000	A.Suhail
173	900000	A.Uludağ
174	900000	A.Valles
175	900000	A.Zain
176	900000	Aabid
177	900000	Aagard
178	900000	Aakash
179	900000	Aalberg
180	900000	Aalto
181	900000	Aaltonen
182	900000	Aaneba
183	900000	Aapo
184	900000	Aaren
185	900000	Aarflot
186	900000	Aaro
187	900000	Aaron
188	900000	Aarons
189	900000	Aaronson
190	900000	Aarón
191	900000	Aas
192	900000	Aasbak
193	900000	Aasen
194	900000	Aasgaard
195	900000	Aasmäe
196	900000	Aat
197	900000	Aatu
198	900000	Aayush
199	900000	Aškovski
200	900000	Ababio
201	900000	Ababneh
202	900000	Abada
203	900000	Abaida El Achhab
204	900000	Abaka
205	900000	Abakar Loubadhe
206	900000	Abamelik
207	900000	Abanda
208	900000	Abasa
209	900000	Abascal
210	900000	Abass
211	900000	Abastoflor
212	920009	Abate
213	900000	Abath
214	900000	Abayisenga
215	900000	Abaz
216	900000	Abaza
217	900000	Abazaj
218	920011	Abbas
219	900000	Abbasov
220	900000	Abbey
221	900000	Abbey-Leigh
222	920014	Abbiati
223	900000	Abbie
224	900000	Abbot
225	920017	Abbott
226	900000	Abby
227	900000	Abdallah
228	900000	Abdallah.A
229	900000	Abdallahi
230	900000	Abde
231	900000	Abdel
232	900000	Abdel Hakim
233	900000	Abdelatif
234	920025	Abdelaziz
235	920028	Abdelhamid
236	900000	Abdelkabir
237	900000	Abdelkader
238	900000	Abdelkahar
239	900000	Abdelkarim
240	920030	Abdellaoue
241	900000	Abdelli
242	900000	Abdelrahman
243	900000	Abdelrashid
244	900000	Abdelwahab
245	900000	Abdelwahed
246	900000	Abdenego
247	900000	Abderrahman
248	900000	Abderrahmane
249	900000	Abdessamad
250	920033	Abdi
251	900000	Abdijanovic
252	900000	Abdilla
253	900000	Abdirahman
254	900000	Abdon
255	900000	Abdoo
256	920037	Abdou
257	900000	Abdoul Fessal
258	900000	Abdoul Kader
259	920038	Abdoulaye
260	900000	Abdoulie
261	900000	Abdoullah
262	920039	Abdoun
263	900000	Abdourahmane
264	900000	Abdu
265	900000	Abdu Conté
266	900000	Abdugheni
267	900000	Abduhamit
268	900000	Abdul
269	900000	Abdul Majid
270	900000	Abdul Manaf
271	900000	Abdul Samad
272	900000	Abdul Samed
273	900000	Abdul-Aziz
274	900000	Abdulah
275	900000	Abdulai
276	900000	Abdulaziz
277	900000	Abdulbasit
278	900000	Abdulbasit.S
279	900000	Abdulelah
280	900000	Abdulfatah
281	900000	Abdulhamid
282	920045	Abdulkadir
283	900000	Abdulkareem
284	900000	Abdulkarim
285	900000	Abdulla
286	900000	Abdullaev
287	920048	Abdullah
288	900000	Abdullah Dijlan
289	900000	Abdullah Durak
290	900000	Abdullah Nahar
291	900000	Abdullahi
292	900000	Abdullayev
293	900000	Abdullayeva
294	900000	Abdullina
295	900000	Abdullo
296	900000	Abdulmajeed
297	900000	Abdulmalek
298	900000	Abdulmohsen
299	900000	Abdulova
300	900000	Abdulquddus
301	920052	Abdulrahman
302	900000	Abdulraouf
303	900000	Abdulrazak
304	900000	Abdulwahab
305	900000	Abdurasul
306	900000	Abdurisag
307	900000	Abdurrahim
308	900000	Abdusalam
309	900000	Abdussalam
310	900000	Abdón
311	900000	Abdón Prats
312	900000	Abdülkadir
313	900000	Abdülkerim
314	920055	Abe
315	900000	Abebe
316	900000	Abecasis
317	900000	Abedini
318	900000	Abedzadeh
319	900000	Abeid
320	920057	Abel
321	900000	Abel Bretones
322	900000	Abel Ruiz
323	900000	Abel William
324	900000	Abeledo
325	900000	Abelleira Dueñas
326	900000	Abels
327	900000	Abena
328	900000	Abera
329	900000	Abergel
330	900000	Abhijeet
331	900000	Abhishek
